wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6368156 159412   1980 160236 63524 66492 63524 66488 3674 4629  0  2 94  4  0
 0  5 6361128 163672   1672 159696 40800 33284 41252 33288 2413 3068  0  1 91  8  0
 1  1 6349716 154600   1528 159232 33248 21220 33676 21728 2341 2647  0  1 93  6  0
 1  1 6387604 186368   1468 156392 15860 53848 15864 53912 1582 1728  0  1 89 10  0
 0  1 6375828 169024   1700 160384 11740    0 15800     0 1886 1673  0  1 90  9  0
 0  5 6414740 219652   1484 156928 56780 95748 57200 95748 3822 4280  1  2 81 16  0
 0  3 6411412 213036   3432 158780 3308    0  7208     0 1661 1164  0  1 85 14  0
 0  2 6365588 156768   3700 159212 62964 16968 64048 16968 3817 4914  1  1 92  6  0
 0  4 6391444 183228   3700 158356 29756 55380 29936 55964 2278 2354  0  1 82 17  0
 0  1 6374036 165360   3708 159288 17196    0 18088   204 1434 1630  0  0 90  9  0
 0  1 6356628 154020   3708 158144 75432 57892 75432 57892 4768 5402  1  3 94  3  0
 0  3 6359188 153336   3708 158524 46876 49468 47732 50084 3750 3818  0  2 92  6  0
 0  1 6362672 152728   3708 159004 11244 14344 12000 14380 2213 1734  1  1 88 10  0
 0  1 6363596 155068   3708 159052 45072 45568 45336 46216 3459 3537  0  2 90  7  0
 0  3 6368404 156920   3716 158804 33820 38468 34088 38920 2602 2850  0  1 88 11  0
 0  1 6357424 152936   3712 158908 53928 42916 54372 42916 4098 4157  0  2 87 11  0
 0  2 6365076 155456   3652 158212 66408 73976 66408 74092 4327 4926  0  3 93  4  0
 0  1 6377108 165504   3644 156976 37732 49992 37732 50372 2857 2924  0  1 94  5  0
 0  1 6361236 159732   3400 155348 64332 48352 64436 48352 3952 4620  0  2 93  4  0
 0  2 6421652 228080   1640 152860 22872 83060 23220 83060 2201 2169  0  2 88 10  0
